dataset,series,domain,anomaly_kind,detector,tier,config,auc_pr,vus_pr,affil_f1,event_f1,runtime_s,tune_s,peak_mb,n_test,n_channels,anomaly_frac,status
ucr,030_UCR_Anomaly_DISTORTEDInternalBleeding19_3000_4187_4197,DISTORTEDInternalBleeding19,,knn,tuned,"{'w': 200, 'k': 1}",0.20702,0.21533,0.85828,0.66667,0.45,1.61,0.0,4500,1,0.00244,ok
ucr,030_UCR_Anomaly_DISTORTEDInternalBleeding19_3000_4187_4197,DISTORTEDInternalBleeding19,,ae,default,,0.06712,0.09741,0.71386,0.66667,0.85,,1600.7,4500,1,0.00244,ok
ucr,030_UCR_Anomaly_DISTORTEDInternalBleeding19_3000_4187_4197,DISTORTEDInternalBleeding19,,ae,tuned,"{'w': 100, 'hidden': 32, 'latent': 16}",0.03208,0.04709,0.68794,0.4,1.59,6.28,0.0,4500,1,0.00244,ok
ucr,031_UCR_Anomaly_DISTORTEDInternalBleeding20_2700_5759_5919,DISTORTEDInternalBleeding20,,chronos_small_resid,default,,0.03894,0.05593,0.68643,0.04466,0.14,,1638.0,4800,1,0.03354,ok
ucr,031_UCR_Anomaly_DISTORTEDInternalBleeding20_2700_5759_5919,DISTORTEDInternalBleeding20,,chronos_small_quantile,default,,0.02893,0.04429,0.71788,1.0,0.14,,1638.0,4800,1,0.03354,ok
ucr,031_UCR_Anomaly_DISTORTEDInternalBleeding20_2700_5759_5919,DISTORTEDInternalBleeding20,,chronos_base_resid,default,,0.04512,0.05937,0.68489,0.07479,0.36,,1705.9,4800,1,0.03354,ok
ucr,031_UCR_Anomaly_DISTORTEDInternalBleeding20_2700_5759_5919,DISTORTEDInternalBleeding20,,chronos_base_quantile,default,,0.03182,0.04785,0.66717,1.0,0.36,,1705.9,4800,1,0.03354,ok
ucr,031_UCR_Anomaly_DISTORTEDInternalBleeding20_2700_5759_5919,DISTORTEDInternalBleeding20,,timesfm_resid,default,,0.11052,0.14356,0.96098,0.17182,2.1,,2046.7,4800,1,0.03354,ok
ucr,031_UCR_Anomaly_DISTORTEDInternalBleeding20_2700_5759_5919,DISTORTEDInternalBleeding20,,timesfm_quantile,default,,0.03788,0.05506,0.68996,1.0,2.1,,2046.7,4800,1,0.03354,ok
ucr,031_UCR_Anomaly_DISTORTEDInternalBleeding20_2700_5759_5919,DISTORTEDInternalBleeding20,,tirex_resid,default,,0.07983,0.10291,0.71845,0.16469,4.66,,1725.0,4800,1,0.03354,ok
ucr,031_UCR_Anomaly_DISTORTEDInternalBleeding20_2700_5759_5919,DISTORTEDInternalBleeding20,,tirex_quantile,default,,0.05487,0.06018,0.66717,1.0,4.66,,1725.0,4800,1,0.03354,ok
ucr,031_UCR_Anomaly_DISTORTEDInternalBleeding20_2700_5759_5919,DISTORTEDInternalBleeding20,,iforest,default,,0.11101,0.1063,0.71061,0.21334,1.22,,1594.1,4800,1,0.03354,ok
ucr,031_UCR_Anomaly_DISTORTEDInternalBleeding20_2700_5759_5919,DISTORTEDInternalBleeding20,,iforest,tuned,"{'w': 50, 'n_estimators': 100}",0.06552,0.0741,0.71163,0.11023,1.05,5.98,0.0,4800,1,0.03354,ok
ucr,031_UCR_Anomaly_DISTORTEDInternalBleeding20_2700_5759_5919,DISTORTEDInternalBleeding20,,lof,default,,0.17022,0.18419,0.70318,0.3381,0.2,,1594.1,4800,1,0.03354,ok
ucr,031_UCR_Anomaly_DISTORTEDInternalBleeding20_2700_5759_5919,DISTORTEDInternalBleeding20,,lof,tuned,"{'w': 50, 'k': 30}",0.66242,0.54196,0.99284,0.75,0.69,1.96,0.0,4800,1,0.03354,ok
ucr,031_UCR_Anomaly_DISTORTEDInternalBleeding20_2700_5759_5919,DISTORTEDInternalBleeding20,,knn,default,,0.87242,0.70185,0.99768,0.91667,0.1,,1594.1,4800,1,0.03354,ok
ucr,031_UCR_Anomaly_DISTORTEDInternalBleeding20_2700_5759_5919,DISTORTEDInternalBleeding20,,knn,tuned,"{'w': 50, 'k': 3}",0.55718,0.43757,0.99104,0.68333,0.45,1.39,0.0,4800,1,0.03354,ok
ucr,031_UCR_Anomaly_DISTORTEDInternalBleeding20_2700_5759_5919,DISTORTEDInternalBleeding20,,ae,default,,0.90101,0.67608,0.99942,0.875,0.96,,1600.6,4800,1,0.03354,ok
ucr,031_UCR_Anomaly_DISTORTEDInternalBleeding20_2700_5759_5919,DISTORTEDInternalBleeding20,,ae,tuned,"{'w': 50, 'hidden': 64, 'latent': 8}",0.61638,0.45073,0.99183,0.61905,2.59,6.69,0.0,4800,1,0.03354,ok
ucr,032_UCR_Anomaly_DISTORTEDInternalBleeding4_1000_4675_5033,DISTORTEDInternalBleeding4,,chronos_small_resid,default,,0.33978,0.29105,0.98896,0.35746,0.19,,1649.9,6321,1,0.05679,ok
ucr,032_UCR_Anomaly_DISTORTEDInternalBleeding4_1000_4675_5033,DISTORTEDInternalBleeding4,,chronos_small_quantile,default,,0.10861,0.10965,0.98298,1.0,0.19,,1649.9,6321,1,0.05679,ok
ucr,032_UCR_Anomaly_DISTORTEDInternalBleeding4_1000_4675_5033,DISTORTEDInternalBleeding4,,chronos_base_resid,default,,0.35468,0.30872,0.98298,0.35833,0.23,,1744.6,6321,1,0.05679,ok
ucr,032_UCR_Anomaly_DISTORTEDInternalBleeding4_1000_4675_5033,DISTORTEDInternalBleeding4,,chronos_base_quantile,default,,0.1086,0.11529,0.89438,1.0,0.23,,1744.6,6321,1,0.05679,ok
ucr,032_UCR_Anomaly_DISTORTEDInternalBleeding4_1000_4675_5033,DISTORTEDInternalBleeding4,,timesfm_resid,default,,0.48698,0.44361,0.99314,0.4365,2.46,,2046.7,6321,1,0.05679,ok
ucr,032_UCR_Anomaly_DISTORTEDInternalBleeding4_1000_4675_5033,DISTORTEDInternalBleeding4,,timesfm_quantile,default,,0.13716,0.12471,0.98298,1.0,2.46,,2046.7,6321,1,0.05679,ok
ucr,032_UCR_Anomaly_DISTORTEDInternalBleeding4_1000_4675_5033,DISTORTEDInternalBleeding4,,tirex_resid,default,,0.4616,0.39616,0.99333,0.43841,4.94,,1766.1,6321,1,0.05679,ok
ucr,032_UCR_Anomaly_DISTORTEDInternalBleeding4_1000_4675_5033,DISTORTEDInternalBleeding4,,tirex_quantile,default,,0.34051,0.29618,0.99422,1.0,4.94,,1766.1,6321,1,0.05679,ok
ucr,032_UCR_Anomaly_DISTORTEDInternalBleeding4_1000_4675_5033,DISTORTEDInternalBleeding4,,iforest,default,,0.61606,0.5355,0.99235,0.68333,1.2,,1594.1,6321,1,0.05679,ok
