dataset,series,domain,anomaly_kind,detector,tier,config,auc_pr,vus_pr,affil_f1,event_f1,runtime_s,tune_s,peak_mb,n_test,n_channels,anomaly_frac,status
ucr,102_UCR_Anomaly_NOISEMesoplodonDensirostris_10000_19280_19440,NOISEMesoplodonDensirostris,,ae,default,,0.84333,0.59595,0.99728,0.93144,4.13,nan,28.0,14667,1,0.01098,ok
ucr,102_UCR_Anomaly_NOISEMesoplodonDensirostris_10000_19280_19440,NOISEMesoplodonDensirostris,,ae,tuned,"{'w': 100, 'hidden': 32, 'latent': 16}",0.82979,0.57462,0.99734,0.90138,4.76,22.36,0.0,14667,1,0.01098,ok
ucr,104_UCR_Anomaly_NOISEapneaecg4_6000_16000_16100,NOISEapneaecg4,,iforest,default,,0.00158,0.00415,0.65545,0.0,2.84,nan,17.0,32269,1,0.00313,ok
ucr,104_UCR_Anomaly_NOISEapneaecg4_6000_16000_16100,NOISEapneaecg4,,iforest,tuned,"{'w': 400, 'n_estimators': 200}",0.00158,0.00354,0.62459,0.0,7.33,6.68,0.0,32269,1,0.00313,ok
ucr,104_UCR_Anomaly_NOISEapneaecg4_6000_16000_16100,NOISEapneaecg4,,lof,default,,0.0016,0.00401,0.65801,0.0,0.91,nan,17.0,32269,1,0.00313,ok
ucr,104_UCR_Anomaly_NOISEapneaecg4_6000_16000_16100,NOISEapneaecg4,,lof,tuned,"{'w': 400, 'k': 10}",0.00176,0.00278,0.64236,0.0,1.67,2.16,0.0,32269,1,0.00313,ok
ucr,104_UCR_Anomaly_NOISEapneaecg4_6000_16000_16100,NOISEapneaecg4,,knn,default,,0.00499,0.00626,0.63572,0.00976,0.67,nan,17.0,32269,1,0.00313,ok
ucr,104_UCR_Anomaly_NOISEapneaecg4_6000_16000_16100,NOISEapneaecg4,,knn,tuned,"{'w': 50, 'k': 3}",0.00325,0.00526,0.58413,0.00428,2.27,1.45,0.0,32269,1,0.00313,ok
ucr,104_UCR_Anomaly_NOISEapneaecg4_6000_16000_16100,NOISEapneaecg4,,ae,default,,0.00158,0.00403,0.64544,0.0,3.9,nan,34.9,32269,1,0.00313,ok
ucr,104_UCR_Anomaly_NOISEapneaecg4_6000_16000_16100,NOISEapneaecg4,,ae,tuned,"{'w': 50, 'hidden': 64, 'latent': 8}",0.00163,0.00285,0.64997,0.0,7.56,14.17,0.0,32269,1,0.00313,ok
ucr,106_UCR_Anomaly_NOISEgaitHunt2_18500_31200_31850,NOISEgaitHunt2,,iforest,default,,0.08267,0.08239,0.66909,0.19229,3.88,nan,17.0,45500,1,0.01431,ok
ucr,106_UCR_Anomaly_NOISEgaitHunt2_18500_31200_31850,NOISEgaitHunt2,,iforest,tuned,"{'w': 100, 'n_estimators': 200}",0.08267,0.08239,0.66909,0.19229,5.68,9.83,0.0,45500,1,0.01431,ok
ucr,106_UCR_Anomaly_NOISEgaitHunt2_18500_31200_31850,NOISEgaitHunt2,,lof,default,,0.42452,0.42105,0.92456,0.62016,1.92,nan,17.0,45500,1,0.01431,ok
ucr,106_UCR_Anomaly_NOISEgaitHunt2_18500_31200_31850,NOISEgaitHunt2,,lof,tuned,"{'w': 100, 'k': 30}",0.45349,0.4604,0.92039,0.67631,3.35,5.1,0.0,45500,1,0.01431,ok
ucr,106_UCR_Anomaly_NOISEgaitHunt2_18500_31200_31850,NOISEgaitHunt2,,knn,default,,0.42466,0.41886,0.92694,0.61348,1.41,nan,17.0,45500,1,0.01431,ok
ucr,106_UCR_Anomaly_NOISEgaitHunt2_18500_31200_31850,NOISEgaitHunt2,,knn,tuned,"{'w': 100, 'k': 5}",0.42466,0.41886,0.92694,0.61348,3.12,3.15,0.0,45500,1,0.01431,ok
