dataset,series,detector,raw,detrended,ma100,detrended_ma100
ucr,023_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z5_5000_8612_8716,ae,0.8517967309665873,0.8605118011440626,0.9517880625273687,0.9473428642716094
ucr,023_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z5_5000_8612_8716,iforest,0.9261718195551434,0.9293205965337126,0.9518845784859868,0.9518631414256147
ucr,026_UCR_Anomaly_DISTORTEDInternalBleeding15_1700_5684_5854,timesfm_resid,0.07180442906988055,0.06932841468335152,0.11448919835389701,0.10649200098194463
ucr,026_UCR_Anomaly_DISTORTEDInternalBleeding15_1700_5684_5854,tirex_resid,0.06171312631324098,0.06381751190395583,0.09006927161640108,0.09138080063841755
ucr,026_UCR_Anomaly_DISTORTEDInternalBleeding15_1700_5684_5854,chronos_base_resid,0.04763648493961883,0.04811018661280743,0.05042036494352199,0.05148102476261526
ucr,026_UCR_Anomaly_DISTORTEDInternalBleeding15_1700_5684_5854,chronos_small_resid,0.053163239794370334,0.05262386642416032,0.0704644606501304,0.06512325000714281
ucr,026_UCR_Anomaly_DISTORTEDInternalBleeding15_1700_5684_5854,knn,0.7531626658763215,0.7532275639002197,0.832467872546776,0.8324420448962253
ucr,026_UCR_Anomaly_DISTORTEDInternalBleeding15_1700_5684_5854,lof,0.2342629380681459,0.22396021347927342,0.18794169632940733,0.18769074697891946
ucr,026_UCR_Anomaly_DISTORTEDInternalBleeding15_1700_5684_5854,ae,0.05144235891259497,0.05159786078776503,0.04450886452824628,0.04453210701923838
ucr,026_UCR_Anomaly_DISTORTEDInternalBleeding15_1700_5684_5854,iforest,0.09330331350776744,0.09316956004214574,0.10170937374758231,0.10180961975119573
ucr,029_UCR_Anomaly_DISTORTEDInternalBleeding18_2300_4485_4587,timesfm_resid,0.09921060878620577,0.10894462747936959,0.2564337408198024,0.251063846280564
ucr,029_UCR_Anomaly_DISTORTEDInternalBleeding18_2300_4485_4587,tirex_resid,0.039350222872724674,0.05802949539577711,0.05552289676992781,0.0977170482159085
ucr,029_UCR_Anomaly_DISTORTEDInternalBleeding18_2300_4485_4587,chronos_base_resid,0.07133405219290814,0.09402133143323763,0.11564082042023442,0.12089084732937849
ucr,029_UCR_Anomaly_DISTORTEDInternalBleeding18_2300_4485_4587,chronos_small_resid,0.03872135109046283,0.050387721535051555,0.05681194605178954,0.06976019332795291
ucr,029_UCR_Anomaly_DISTORTEDInternalBleeding18_2300_4485_4587,knn,0.07854921427781161,0.07850885248705078,0.08046029698757205,0.07994304777579508
ucr,029_UCR_Anomaly_DISTORTEDInternalBleeding18_2300_4485_4587,lof,0.01741126817938659,0.016698308042658865,0.016598027182773964,0.016594872242833944
ucr,029_UCR_Anomaly_DISTORTEDInternalBleeding18_2300_4485_4587,ae,0.02729932671127419,0.027180310037772153,0.026089349175760917,0.026040747587564448
ucr,029_UCR_Anomaly_DISTORTEDInternalBleeding18_2300_4485_4587,iforest,0.020442522464474824,0.02043344288758938,0.018552590970651994,0.01854112972571896
ucr,033_UCR_Anomaly_DISTORTEDInternalBleeding5_4000_6200_6370,timesfm_resid,0.2662331613820835,0.3229546631945523,0.5558065516381714,0.6197078629867678
