detectors=['iforest', 'lof', 'knn', 'ae', 'chronos_small_resid', 'chronos_small_quantile', 'chronos_base_resid', 'chronos_base_quantile', 'timesfm_resid', 'timesfm_quantile', 'tirex_resid', 'tirex_quantile']
tiers=['default', 'tuned']
datasets=['nasa', 'smd', 'psm', 'ucr']
out=F:\CS\Paper\that\results\full_results.csv
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Loading weights:   0%|          | 0/143 [00:00<?, ?it/s]Loading weights:  45%|¨€¨€¨€¨€¨…     | 64/143 [00:00<00:00, 606.04it/s]Loading weights:  89%|¨€¨€¨€¨€¨€¨€¨€¨€¨ | 127/143 [00:00<00:00, 609.27it/s]Loading weights: 100%|¨€¨€¨€¨€¨€¨€¨€¨€¨€¨€| 143/143 [00:00<00:00, 636.00it/s]
[ucr] 007_UCR_Anomaly_DISTORTEDCIMIS44Ai iforest                  tuned    vus=0.01058 affil=0.65547 (1.56s)
[ucr] 007_UCR_Anomaly_DISTORTEDCIMIS44Ai lof                      default  vus=0.05522 affil=0.71012 (0.23s)
[ucr] 007_UCR_Anomaly_DISTORTEDCIMIS44Ai lof                      tuned    vus=0.05522 affil=0.71012 (0.6s)
[ucr] 007_UCR_Anomaly_DISTORTEDCIMIS44Ai knn                      default  vus=0.1393 affil=0.69193 (0.11s)
[ucr] 007_UCR_Anomaly_DISTORTEDCIMIS44Ai knn                      tuned    vus=0.78752 affil=0.99883 (0.32s)
[ucr] 007_UCR_Anomaly_DISTORTEDCIMIS44Ai ae                       default  vus=0.89335 affil=0.99883 (1.01s)
[ucr] 007_UCR_Anomaly_DISTORTEDCIMIS44Ai ae                       tuned    vus=0.51374 affil=0.80879 (1.81s)
[ucr] 008_UCR_Anomaly_DISTORTEDCIMIS44Ai chronos_small_resid      default  vus=0.05115 affil=0.79167 (0.1s)
[ucr] 008_UCR_Anomaly_DISTORTEDCIMIS44Ai chronos_small_quantile   default  vus=0.05859 affil=0.8115 (0.1s)
[ucr] 008_UCR_Anomaly_DISTORTEDCIMIS44Ai chronos_base_resid       default  vus=0.03744 affil=0.7132 (0.4s)
[ucr] 008_UCR_Anomaly_DISTORTEDCIMIS44Ai chronos_base_quantile    default  vus=0.0339 affil=0.77885 (0.4s)
[ucr] 008_UCR_Anomaly_DISTORTEDCIMIS44Ai timesfm_resid            default  vus=0.13563 affil=0.99871 (2.5s)
[ucr] 008_UCR_Anomaly_DISTORTEDCIMIS44Ai timesfm_quantile         default  vus=0.2062 affil=0.83239 (2.5s)
[ucr] 008_UCR_Anomaly_DISTORTEDCIMIS44Ai tirex_resid              default  vus=0.0721 affil=0.90536 (5.9s)
[ucr] 008_UCR_Anomaly_DISTORTEDCIMIS44Ai tirex_quantile           default  vus=0.02443 affil=0.6816 (5.9s)
[ucr] 008_UCR_Anomaly_DISTORTEDCIMIS44Ai iforest                  default  vus=0.03305 affil=0.76604 (1.14s)
[ucr] 008_UCR_Anomaly_DISTORTEDCIMIS44Ai iforest                  tuned    vus=0.04983 affil=0.80461 (1.6s)
[ucr] 008_UCR_Anomaly_DISTORTEDCIMIS44Ai lof                      default  vus=0.05536 affil=0.82603 (0.24s)
[ucr] 008_UCR_Anomaly_DISTORTEDCIMIS44Ai lof                      tuned    vus=0.05536 affil=0.82603 (0.59s)
