dataset,series,detector,custom_vus_pr,reference_vus_pr
ucr,035_UCR_Anomaly_DISTORTEDInternalBleeding8_2500_5865_5974,ae,0.028261368568698268,0.028154338890445343
ucr,035_UCR_Anomaly_DISTORTEDInternalBleeding8_2500_5865_5974,iforest,0.03200864546637053,0.030536193880866792
ucr,035_UCR_Anomaly_DISTORTEDInternalBleeding8_2500_5865_5974,timesfm_resid,0.06254833280342109,0.07247610074875802
ucr,035_UCR_Anomaly_DISTORTEDInternalBleeding8_2500_5865_5974,tirex_resid,0.13179992499396592,0.1738276984768171
ucr,035_UCR_Anomaly_DISTORTEDInternalBleeding8_2500_5865_5974,chronos_base_resid,0.05893420940468972,0.06133391734485762
ucr,035_UCR_Anomaly_DISTORTEDInternalBleeding8_2500_5865_5974,chronos_small_resid,0.034728698225033314,0.03207905329732603
ucr,039_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG3_5000_16390_16420,knn,0.2563039049278385,0.2588286832069403
ucr,039_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG3_5000_16390_16420,lof,0.33162709376363364,0.40062118277724285
ucr,039_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG3_5000_16390_16420,ae,0.3218325891343008,0.4377893283456619
ucr,039_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG3_5000_16390_16420,iforest,0.30809433201025915,0.4048990875261643
ucr,039_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG3_5000_16390_16420,timesfm_resid,0.006031754648620963,0.008516252452813
ucr,039_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG3_5000_16390_16420,tirex_resid,0.005285616971325607,0.006925093227185131
ucr,039_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG3_5000_16390_16420,chronos_base_resid,0.003483109274483364,0.004066514985663664
ucr,039_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG3_5000_16390_16420,chronos_small_resid,0.003734319596579124,0.004506443365698578
ucr,043_UCR_Anomaly_DISTORTEDMesoplodonDensirostris_10000_19280_19440,knn,0.7012627015997108,0.9096688179687176
ucr,043_UCR_Anomaly_DISTORTEDMesoplodonDensirostris_10000_19280_19440,lof,0.1221853125377188,0.1398997398960727
ucr,043_UCR_Anomaly_DISTORTEDMesoplodonDensirostris_10000_19280_19440,ae,0.6565326078099265,0.9021238288508985
ucr,043_UCR_Anomaly_DISTORTEDMesoplodonDensirostris_10000_19280_19440,iforest,0.03253196328255471,0.03088974747715372
ucr,043_UCR_Anomaly_DISTORTEDMesoplodonDensirostris_10000_19280_19440,timesfm_resid,0.03709485050009137,0.04378691254097789
ucr,043_UCR_Anomaly_DISTORTEDMesoplodonDensirostris_10000_19280_19440,tirex_resid,0.030420934400837558,0.03540288373528689
ucr,043_UCR_Anomaly_DISTORTEDMesoplodonDensirostris_10000_19280_19440,chronos_base_resid,0.024904203296683823,0.026163745279610143
ucr,043_UCR_Anomaly_DISTORTEDMesoplodonDensirostris_10000_19280_19440,chronos_small_resid,0.02649826684682412,0.027164419519589086
ucr,047_UCR_Anomaly_DISTORTEDPowerDemand4_18000_24005_24077,knn,0.8264283745464996,0.9799454355943561
ucr,047_UCR_Anomaly_DISTORTEDPowerDemand4_18000_24005_24077,lof,0.8342500088205397,0.9799454355943561
ucr,047_UCR_Anomaly_DISTORTEDPowerDemand4_18000_24005_24077,ae,0.8704504710891585,0.9797440170542268
ucr,047_UCR_Anomaly_DISTORTEDPowerDemand4_18000_24005_24077,iforest,0.010209421723114332,0.008282750025822077
ucr,047_UCR_Anomaly_DISTORTEDPowerDemand4_18000_24005_24077,timesfm_resid,0.04646356334789601,0.060270986593137045
ucr,047_UCR_Anomaly_DISTORTEDPowerDemand4_18000_24005_24077,tirex_resid,0.06621910189131816,0.09326016177892578
ucr,047_UCR_Anomaly_DISTORTEDPowerDemand4_18000_24005_24077,chronos_base_resid,0.08407885771798784,0.11390859628876612
ucr,047_UCR_Anomaly_DISTORTEDPowerDemand4_18000_24005_24077,chronos_small_resid,0.06992145203599537,0.09158278647046826
ucr,052_UCR_Anomaly_DISTORTEDTkeepThirdMARS_3500_4711_4809,knn,0.8537138810515144,0.90888018303873
ucr,052_UCR_Anomaly_DISTORTEDTkeepThirdMARS_3500_4711_4809,lof,0.767041176601212,0.8096439590576299
ucr,052_UCR_Anomaly_DISTORTEDTkeepThirdMARS_3500_4711_4809,ae,0.17020895232396882,0.17652475429853712
ucr,052_UCR_Anomaly_DISTORTEDTkeepThirdMARS_3500_4711_4809,iforest,0.03657348489066143,0.03598098781862981
ucr,052_UCR_Anomaly_DISTORTEDTkeepThirdMARS_3500_4711_4809,timesfm_resid,0.06804852339479994,0.08761774949139951
ucr,052_UCR_Anomaly_DISTORTEDTkeepThirdMARS_3500_4711_4809,tirex_resid,0.09342155112248512,0.13751560868484625
ucr,052_UCR_Anomaly_DISTORTEDTkeepThirdMARS_3500_4711_4809,chronos_base_resid,0.2711640420102903,0.37515739119261793
ucr,052_UCR_Anomaly_DISTORTEDTkeepThirdMARS_3500_4711_4809,chronos_small_resid,0.048131066042486084,0.05693254451229559
ucr,056_UCR_Anomaly_DISTORTEDapneaecg3_5000_11111_11211,knn,0.009730674403031676,0.007740349401407818
ucr,056_UCR_Anomaly_DISTORTEDapneaecg3_5000_11111_11211,lof,0.006327467006666379,0.005489372206957732
ucr,056_UCR_Anomaly_DISTORTEDapneaecg3_5000_11111_11211,ae,0.007656385542509136,0.006926199722325827
ucr,056_UCR_Anomaly_DISTORTEDapneaecg3_5000_11111_11211,iforest,0.006766975012850857,0.005795469359514333
ucr,056_UCR_Anomaly_DISTORTEDapneaecg3_5000_11111_11211,timesfm_resid,0.0051663580781971755,0.005082846890661368
ucr,056_UCR_Anomaly_DISTORTEDapneaecg3_5000_11111_11211,tirex_resid,0.005674362548274986,0.005572267034505913
ucr,056_UCR_Anomaly_DISTORTEDapneaecg3_5000_11111_11211,chronos_base_resid,0.004855610298083727,0.004683097134234492
ucr,056_UCR_Anomaly_DISTORTEDapneaecg3_5000_11111_11211,chronos_small_resid,0.004793686133088323,0.00466932339043299
ucr,060_UCR_Anomaly_DISTORTEDgait2_22000_46500_46800,knn,0.21436499424163305,0.3098074741505988
ucr,060_UCR_Anomaly_DISTORTEDgait2_22000_46500_46800,lof,0.21976275418527375,0.3121939882817904
ucr,060_UCR_Anomaly_DISTORTEDgait2_22000_46500_46800,ae,0.021344640892676844,0.02548641052760037
ucr,060_UCR_Anomaly_DISTORTEDgait2_22000_46500_46800,iforest,0.018824507678448565,0.020106130679042055
ucr,060_UCR_Anomaly_DISTORTEDgait2_22000_46500_46800,timesfm_resid,0.016730821120366862,0.01718025984015849
ucr,060_UCR_Anomaly_DISTORTEDgait2_22000_46500_46800,tirex_resid,0.010796410263813765,0.010506089270117909
ucr,060_UCR_Anomaly_DISTORTEDgait2_22000_46500_46800,chronos_base_resid,0.010687906489342543,0.010350595287614851
ucr,060_UCR_Anomaly_DISTORTEDgait2_22000_46500_46800,chronos_small_resid,0.00970171495298447,0.009229882245853345
ucr,064_UCR_Anomaly_DISTORTEDgaitHunt3_23400_38400_39200,knn,0.5552794732412187,0.6015131483933712
ucr,064_UCR_Anomaly_DISTORTEDgaitHunt3_23400_38400_39200,lof,0.48358526371840727,0.5513361263588888
ucr,064_UCR_Anomaly_DISTORTEDgaitHunt3_23400_38400_39200,ae,0.17076744506429564,0.191738841723417
ucr,064_UCR_Anomaly_DISTORTEDgaitHunt3_23400_38400_39200,iforest,0.069682908905606,0.07156167561064743
ucr,064_UCR_Anomaly_DISTORTEDgaitHunt3_23400_38400_39200,timesfm_resid,0.029132071328273352,0.028990550684782564
ucr,064_UCR_Anomaly_DISTORTEDgaitHunt3_23400_38400_39200,tirex_resid,0.023826020510731155,0.02340889499761199
ucr,064_UCR_Anomaly_DISTORTEDgaitHunt3_23400_38400_39200,chronos_base_resid,0.024674336223804785,0.02419271526740166
ucr,064_UCR_Anomaly_DISTORTEDgaitHunt3_23400_38400_39200,chronos_small_resid,0.02566808942564916,0.025319057173952997
ucr,069_UCR_Anomaly_DISTORTEDinsectEPG5_3200_8500_8501,knn,0.10449801587301588,0.047875185634320874
ucr,069_UCR_Anomaly_DISTORTEDinsectEPG5_3200_8500_8501,lof,0.10449801587301588,0.04923364392176636
ucr,069_UCR_Anomaly_DISTORTEDinsectEPG5_3200_8500_8501,ae,0.11261780538302277,0.05810815281664798
ucr,069_UCR_Anomaly_DISTORTEDinsectEPG5_3200_8500_8501,iforest,0.09698184955141477,0.048894390349840576
ucr,069_UCR_Anomaly_DISTORTEDinsectEPG5_3200_8500_8501,timesfm_resid,0.0013143277011814392,0.0012682468382920217
ucr,069_UCR_Anomaly_DISTORTEDinsectEPG5_3200_8500_8501,tirex_resid,0.001305913318734907,0.0008366117191680111
ucr,069_UCR_Anomaly_DISTORTEDinsectEPG5_3200_8500_8501,chronos_base_resid,0.0006089227753389746,0.00046940978518571495
ucr,069_UCR_Anomaly_DISTORTEDinsectEPG5_3200_8500_8501,chronos_small_resid,0.0005783036564634397,0.0004252823975733908
ucr,073_UCR_Anomaly_DISTORTEDpark3m_60000_72150_72495,knn,0.37493338094153633,0.48113464495844405
ucr,073_UCR_Anomaly_DISTORTEDpark3m_60000_72150_72495,lof,0.3518076370684321,0.47996760938038285
ucr,073_UCR_Anomaly_DISTORTEDpark3m_60000_72150_72495,ae,0.059948391951859546,0.06790052150148494
ucr,073_UCR_Anomaly_DISTORTEDpark3m_60000_72150_72495,iforest,0.12533589596732875,0.1501448973674595
ucr,073_UCR_Anomaly_DISTORTEDpark3m_60000_72150_72495,timesfm_resid,0.017797304686467837,0.018786556690459096
ucr,073_UCR_Anomaly_DISTORTEDpark3m_60000_72150_72495,tirex_resid,0.016622612530821743,0.017261222650474403
ucr,073_UCR_Anomaly_DISTORTEDpark3m_60000_72150_72495,chronos_base_resid,0.01918755263639879,0.020185270837940764
ucr,073_UCR_Anomaly_DISTORTEDpark3m_60000_72150_72495,chronos_small_resid,0.01846949166468985,0.019250817958265616
ucr,077_UCR_Anomaly_DISTORTEDresperation11_58000_110800_110801,knn,0.10184420289855071,0.141733573859131
ucr,077_UCR_Anomaly_DISTORTEDresperation11_58000_110800_110801,lof,0.005797101449275363,0.005804111503286925
ucr,077_UCR_Anomaly_DISTORTEDresperation11_58000_110800_110801,ae,0.08773188405797101,0.16389970532210768
ucr,077_UCR_Anomaly_DISTORTEDresperation11_58000_110800_110801,iforest,0.0002783656852254405,0.00018438277864847423
ucr,077_UCR_Anomaly_DISTORTEDresperation11_58000_110800_110801,timesfm_resid,0.0015959233070545846,0.002569983994995942
ucr,077_UCR_Anomaly_DISTORTEDresperation11_58000_110800_110801,tirex_resid,0.004602913725865726,0.004745194038799007
ucr,077_UCR_Anomaly_DISTORTEDresperation11_58000_110800_110801,chronos_base_resid,0.0034392359089553785,0.004745194038799007
ucr,077_UCR_Anomaly_DISTORTEDresperation11_58000_110800_110801,chronos_small_resid,0.0034124072661922446,0.004745194038799007
ucr,081_UCR_Anomaly_DISTORTEDresperation3_45000_158250_158251,knn,2.239428135140663e-05,1.8420162513481377e-05
ucr,081_UCR_Anomaly_DISTORTEDresperation3_45000_158250_158251,lof,2.7495843051789217e-05,2.1686085231622435e-05
ucr,081_UCR_Anomaly_DISTORTEDresperation3_45000_158250_158251,ae,1.8165513471147088e-05,1.226456727945283e-05
ucr,081_UCR_Anomaly_DISTORTEDresperation3_45000_158250_158251,iforest,2.9972649956914316e-05,2.4268062034649162e-05
ucr,081_UCR_Anomaly_DISTORTEDresperation3_45000_158250_158251,timesfm_resid,3.1088694656352186e-05,2.1661019113981995e-05
ucr,081_UCR_Anomaly_DISTORTEDresperation3_45000_158250_158251,tirex_resid,2.443804319781225e-05,1.7354215243200606e-05
ucr,081_UCR_Anomaly_DISTORTEDresperation3_45000_158250_158251,chronos_base_resid,2.6628800092290113e-05,1.8201081810453432e-05
ucr,081_UCR_Anomaly_DISTORTEDresperation3_45000_158250_158251,chronos_small_resid,3.4876940631660395e-05,2.547687803044575e-05
ucr,085_UCR_Anomaly_DISTORTEDs20101m_10000_35774_35874,knn,0.6003841987779526,0.8917405573781324
ucr,085_UCR_Anomaly_DISTORTEDs20101m_10000_35774_35874,lof,0.6154686445032787,0.8465017373572615
ucr,085_UCR_Anomaly_DISTORTEDs20101m_10000_35774_35874,ae,0.4368509531061283,0.650988755095828
ucr,085_UCR_Anomaly_DISTORTEDs20101m_10000_35774_35874,iforest,0.004416735486544955,0.004171504900472434
ucr,085_UCR_Anomaly_DISTORTEDs20101m_10000_35774_35874,timesfm_resid,0.008689344941094104,0.010035134604882557
ucr,085_UCR_Anomaly_DISTORTEDs20101m_10000_35774_35874,tirex_resid,0.00918553176253666,0.010367509389798232
ucr,085_UCR_Anomaly_DISTORTEDs20101m_10000_35774_35874,chronos_base_resid,0.00585939353223261,0.0061152995889458845
ucr,085_UCR_Anomaly_DISTORTEDs20101m_10000_35774_35874,chronos_small_resid,0.006728988598911929,0.007758649360150716
ucr,090_UCR_Anomaly_DISTORTEDtiltAPB2_50000_124159_124985,knn,0.1383055694554035,0.14774622121561676
ucr,090_UCR_Anomaly_DISTORTEDtiltAPB2_50000_124159_124985,lof,0.1312418116122661,0.14040096743217853
ucr,090_UCR_Anomaly_DISTORTEDtiltAPB2_50000_124159_124985,ae,0.3515100362068775,0.4333515211841687
ucr,090_UCR_Anomaly_DISTORTEDtiltAPB2_50000_124159_124985,iforest,0.018941859650357454,0.0189465252721284
ucr,090_UCR_Anomaly_DISTORTEDtiltAPB2_50000_124159_124985,timesfm_resid,0.018649284162385833,0.018745718110634482
ucr,090_UCR_Anomaly_DISTORTEDtiltAPB2_50000_124159_124985,tirex_resid,0.011874201306357156,0.01161706392332357
