dataset,series,domain,detector,auc_pr,vus_pr,event_f1,runtime_s,n_test,anomaly_frac,status
ucr,097_UCR_Anomaly_NOISEGP711MarkerLFM5z3_5000_5948_5993,NOISEGP711MarkerLFM5z3,chronos_bolt_small,0.00719,0.01902,0.05116,0.14,7000,0.00657,ok
ucr,097_UCR_Anomaly_NOISEGP711MarkerLFM5z3_5000_5948_5993,NOISEGP711MarkerLFM5z3,chronos_bolt_base,0.00772,0.02072,0.06384,0.19,7000,0.00657,ok
ucr,103_UCR_Anomaly_NOISETkeepThirdMARS_3500_4711_4809,NOISETkeepThirdMARS,iforest,0.27249,0.38381,0.53462,0.9,7808,0.01268,ok
ucr,103_UCR_Anomaly_NOISETkeepThirdMARS_3500_4711_4809,NOISETkeepThirdMARS,lof,0.73139,0.88373,0.8818,0.19,7808,0.01268,ok
ucr,103_UCR_Anomaly_NOISETkeepThirdMARS_3500_4711_4809,NOISETkeepThirdMARS,ae,0.48086,0.60558,0.76519,0.8,7808,0.01268,ok
ucr,103_UCR_Anomaly_NOISETkeepThirdMARS_3500_4711_4809,NOISETkeepThirdMARS,chronos_bolt_small,0.1206,0.10225,0.33028,0.17,7808,0.01268,ok
ucr,103_UCR_Anomaly_NOISETkeepThirdMARS_3500_4711_4809,NOISETkeepThirdMARS,chronos_bolt_base,0.52263,0.37841,0.73483,0.3,7808,0.01268,ok
ucr,110_UCR_Anomaly_2sddb40_35000_56600_56900,2sddb40,iforest,0.00349,0.00464,0.02047,1.7,45001,0.00669,ok
ucr,110_UCR_Anomaly_2sddb40_35000_56600_56900,2sddb40,lof,0.02034,0.02245,0.08572,2.11,45001,0.00669,ok
ucr,110_UCR_Anomaly_2sddb40_35000_56600_56900,2sddb40,ae,0.00547,0.00741,0.04971,7.63,45001,0.00669,ok
ucr,110_UCR_Anomaly_2sddb40_35000_56600_56900,2sddb40,chronos_bolt_small,0.00391,0.00523,0.0086,0.98,45001,0.00669,ok
ucr,110_UCR_Anomaly_2sddb40_35000_56600_56900,2sddb40,chronos_bolt_base,0.00396,0.0053,0.01578,1.39,45001,0.00669,ok
ucr,116_UCR_Anomaly_CIMIS44AirTemperature4_4000_5549_5597,CIMIS44AirTemperature4,iforest,0.02693,0.04439,0.10901,0.88,4184,0.01171,ok
ucr,116_UCR_Anomaly_CIMIS44AirTemperature4_4000_5549_5597,CIMIS44AirTemperature4,lof,0.03929,0.05982,0.14079,0.2,4184,0.01171,ok
ucr,116_UCR_Anomaly_CIMIS44AirTemperature4_4000_5549_5597,CIMIS44AirTemperature4,ae,0.35645,0.32047,0.72404,1.17,4184,0.01171,ok
ucr,116_UCR_Anomaly_CIMIS44AirTemperature4_4000_5549_5597,CIMIS44AirTemperature4,chronos_bolt_small,0.10438,0.08101,0.43961,0.16,4184,0.01171,ok
ucr,116_UCR_Anomaly_CIMIS44AirTemperature4_4000_5549_5597,CIMIS44AirTemperature4,chronos_bolt_base,0.08587,0.07203,0.40349,0.39,4184,0.01171,ok
ucr,122_UCR_Anomaly_ECG3_8000_17000_17100,ECG3,iforest,0.00233,0.00409,0.0,1.47,22000,0.00459,ok
ucr,122_UCR_Anomaly_ECG3_8000_17000_17100,ECG3,lof,0.87919,0.80998,0.87826,0.64,22000,0.00459,ok
ucr,122_UCR_Anomaly_ECG3_8000_17000_17100,ECG3,ae,0.00283,0.00475,0.00479,2.06,22000,0.00459,ok
ucr,122_UCR_Anomaly_ECG3_8000_17000_17100,ECG3,chronos_bolt_small,0.01498,0.01484,0.09164,0.7,22000,0.00459,ok
ucr,122_UCR_Anomaly_ECG3_8000_17000_17100,ECG3,chronos_bolt_base,0.01562,0.01551,0.10756,0.76,22000,0.00459,ok
ucr,129_UCR_Anomaly_GP711MarkerLFM5z3_5000_5948_5993,GP711MarkerLFM5z3,iforest,0.66687,0.57556,0.7699,0.95,7000,0.00657,ok
ucr,129_UCR_Anomaly_GP711MarkerLFM5z3_5000_5948_5993,GP711MarkerLFM5z3,lof,0.90539,0.90191,0.91042,0.19,7000,0.00657,ok
ucr,129_UCR_Anomaly_GP711MarkerLFM5z3_5000_5948_5993,GP711MarkerLFM5z3,ae,0.72959,0.78787,0.80906,1.32,7000,0.00657,ok
ucr,129_UCR_Anomaly_GP711MarkerLFM5z3_5000_5948_5993,GP711MarkerLFM5z3,chronos_bolt_small,0.00584,0.01843,0.03896,0.16,7000,0.00657,ok
ucr,129_UCR_Anomaly_GP711MarkerLFM5z3_5000_5948_5993,GP711MarkerLFM5z3,chronos_bolt_base,0.00533,0.01679,0.03677,0.33,7000,0.00657,ok
ucr,135_UCR_Anomaly_InternalBleeding16_1200_4187_4199,InternalBleeding16,iforest,0.00839,0.0401,0.03328,0.93,6301,0.00206,ok
